Colonne,Type,Nulls,Nulls_%,Min,Max,Moyenne,Uniques,Top_3
school,category,395,100.0,,,,0.0,{}
sex,category,395,100.0,,,,0.0,{}
age,int64,0,0.0,15.0,22.0,16.7,,
address,category,395,100.0,,,,0.0,{}
famsize,category,395,100.0,,,,0.0,{}
Pstatus,category,395,100.0,,,,0.0,{}
Medu,int64,0,0.0,0.0,4.0,2.75,,
Fedu,int64,0,0.0,0.0,4.0,2.52,,
Mjob,category,395,100.0,,,,0.0,{}
Fjob,category,395,100.0,,,,0.0,{}
reason,category,395,100.0,,,,0.0,{}
guardian,category,395,100.0,,,,0.0,{}
traveltime,int64,0,0.0,1.0,4.0,1.45,,
studytime,int64,0,0.0,1.0,4.0,2.04,,
failures,int64,0,0.0,0.0,3.0,0.33,,
schoolsup,str,0,0.0,,,,,
famsup,str,0,0.0,,,,,
paid,str,0,0.0,,,,,
activities,str,0,0.0,,,,,
nursery,str,0,0.0,,,,,
higher,str,0,0.0,,,,,
internet,str,0,0.0,,,,,
romantic,str,0,0.0,,,,,
famrel,int64,0,0.0,1.0,5.0,3.94,,
freetime,int64,0,0.0,1.0,5.0,3.24,,
goout,int64,0,0.0,1.0,5.0,3.11,,
Dalc,int64,0,0.0,1.0,5.0,1.48,,
Walc,int64,0,0.0,1.0,5.0,2.29,,
health,int64,0,0.0,1.0,5.0,3.55,,
absences,int64,0,0.0,0.0,75.0,5.71,,
G1,int64,0,0.0,3.0,19.0,10.91,,
G2,int64,0,0.0,0.0,19.0,10.71,,
G3,int64,0,0.0,0.0,20.0,10.42,,
